cluster,keyword,search_intent,notes
raccoon_art,raccoon punk art,transactional,print-on-demand niche
raccoon_art,trash panda art,transactional,alt keyword
holiday,krampus christmas art,transactional,seasonal q4
holiday,beetlejuice halloween art,transactional,seasonal q3/q4
dark_fantasy,dark fantasy gothic art,transactional,evergreen
ai_music,royalty free background music,transactional,music licensing core
ai_music,corporate motivational music,transactional,audiojungle core
ai_music,ambient chill lo-fi,informational/transactional,youtube creators
cleaning_leads,house cleaning near me,transactional,local lead gen
cleaning_leads,deep cleaning services,transactional,high-value service
ai_tools,ai recipe generator,informational,retention/content hook
ai_tools,ai art generator dalle,informational/affiliate,affiliate angle
ai_tools,video generation sora,informational/affiliate,affiliate angle
