00:00 -- 00:07:  🎵Music🎵
00:07 -- 00:11:  🎵Marching forward, never stray🎵
00:11 -- 00:15:  🎵Enchanted walks night and day🎵
00:15 -- 00:18:  🎵Holding death in primal sight🎵
00:18 -- 00:23:  🎵In the dark, we find our light🎵
00:23 -- 00:27:  🎵Familiar clothes by my side🎵
00:27 -- 00:31:  🎵Through the night, we're on this ride🎵
00:31 -- 00:34:  🎵Facing shadows, hearts aligned🎵
00:34 -- 00:38:  🎵In the void, our stars will shine🎵
00:38 -- 00:42:  🎵In the woods where shadows play🎵
00:42 -- 00:46:  🎵We will wander, come what may🎵
00:46 -- 00:50:  🎵Through the darkness, we will fly🎵
00:50 -- 00:55:  🎵Finding strength beneath the sky🎵
00:55 -- 00:59:  🎵No more fear, just endless dreams🎵
00:59 -- 01:03:  🎵Echoes hold our secret schemes🎵
01:03 -- 01:06:  🎵Mystic paths we tread tonight🎵
01:06 -- 01:11:  🎵Hearts ignite like fireflies, bright🎵
01:11 -- 01:15:  🎵Familiar clothes by my side🎵
01:15 -- 01:19:  🎵Through the night, we're on this ride🎵
01:19 -- 01:22:  🎵Facing shadows, hearts aligned🎵
01:22 -- 01:26:  🎵In the void, our stars will shine🎵
01:26 -- 01:30:  🎵In the woods where shadows play🎵
01:30 -- 01:34:  🎵We will wander, come what may🎵
01:34 -- 01:38:  🎵Through the darkness, we will fly🎵
01:38 -- 01:42:  🎵Finding strength beneath the sky🎵
01:42 -- 01:46:  🎵In the woods where shadows play🎵
01:46 -- 01:50:  🎵We will wander, come what may🎵
01:50 -- 01:54:  🎵Through the darkness, we will fly🎵
01:54 -- 01:58:  🎵Finding strength beneath the sky🎵
02:14 -- 02:18:  🎵No more fear, just endless dreams🎵
02:18 -- 02:22:  🎵Echoes hold our secret schemes🎵
02:22 -- 02:26:  🎵Mystic paths we tread tonight🎵
02:26 -- 02:31:  🎵Hearts ignite like fireflies, bright, bright🎵
02:31 -- 02:35:  🎵Whisper winds guide us forth🎵
02:35 -- 02:39:  🎵To the edge of this earth🎵
02:39 -- 02:42:  🎵Silent oaths the woods confide🎵
02:42 -- 02:46:  🎵Unity in every stride🎵
02:46 -- 02:50:  🎵In the woods where shadows play🎵
02:50 -- 02:54:  🎵We will wander, come what may🎵
02:54 -- 02:58:  🎵Through the darkness, we will fly🎵
02:58 -- 03:02:  🎵Finding strength beneath the sky🎵
03:02 -- 03:06:  🎵In the woods where shadows play🎵
03:06 -- 03:10:  🎵We will wander, come what may🎵
03:10 -- 03:14:  🎵Through the darkness, we will fly🎵
03:14 -- 03:18:  🎵Finding strength beneath the sky🎵
