00:00 -- 00:15:  ♪
00:15 -- 00:20:  Moonlit valleys callin'
00:20 -- 00:24:  Willow trees sway slow
00:24 -- 00:27:  Heartbreak like a whisper
00:27 -- 00:32:  In the still of night it grows
00:32 -- 00:37:  Once was joy in mourning
00:37 -- 00:42:  Now the shadows cast so deep
00:42 -- 00:45:  Echoes of the laughter
00:45 -- 00:50:  Fade into the dreams we keep
00:50 -- 00:55:  Heartbreak, hope, and memories
00:55 -- 00:59:  Dancing with the trees
00:59 -- 01:03:  Moonlit nights and willow whispers
01:03 -- 01:07:  Take me back please
01:07 -- 01:11:  In the night so silent
01:11 -- 01:15:  Loneliness does creep
01:15 -- 01:19:  Yet the moon she guides me
01:19 -- 01:24:  Through the pain in which I weep
01:24 -- 01:30:  Heartbreak, hope, and memories
01:30 -- 01:33:  Dancing with the trees
01:33 -- 01:37:  Moonlit nights and willow whispers
01:37 -- 01:41:  Take me back please
01:41 -- 01:46:  From the sorrow rises
01:46 -- 01:49:  Hope that never dies
01:49 -- 01:54:  Whispering willows listen
01:54 -- 01:57:  To the heartfelt cries
02:24 -- 02:49:  From the sorrow rises
02:49 -- 02:53:  Hope that never dies
02:53 -- 02:56:  Whispering willows listen
02:56 -- 03:02:  To the heartfelt cries
03:24 -- 03:26:  Mm-hmm
03:29 -- 03:31:  Mm-hmm
