keyword,monthly_searches,competition,growth_rate,niche_category,product_types,typography_style,design_prompt,target_audience,variations,seo_score,username_suggestion
"mojo dojo house",1340,low,+285%,barbie-core,"t-shirts,stickers,mugs,posters","bold retro 70s font with pink/gold gradient","Retro dreamhouse interior with 'MOJO DOJO CASA HOUSE' in chunky 70s block letters; pink sunset gradient background with palm silhouettes; Ken doll aesthetic with mustache motifs and cowboy hat accents",millennials-gen-z-women,mojo dojo ken|barbie dreamhouse parody|ken energy vibes,95,MojoDojoMasters
"detectorists t-shirts",1522,very-low,+190%,british-comedy,"t-shirts,hoodies,pins","handwritten sketch font weathered look","Minimalist metal detector silhouette against rolling British countryside hills; vintage worn typography reading 'BEEP BEEP DIG DEEP'; earthy brown and green color palette with aged texture overlay",british-comedy-fans-40+,detectorists quotes|metal detecting humor|british countryside art,92,DetectoristsTees
"pee wee",1348,medium,+145%,nostalgia-80s,"stickers,t-shirts,phone-cases","quirky hand-drawn 80s cartoon font","Playful bowtie and bicycle motif with 'I KNOW YOU ARE BUT WHAT AM I' in wobbly colorful letters; bright primary colors with polka dot pattern background; vintage TV static texture",80s-nostalgia-millennials,pee wee herman quotes|playhouse vibes|80s cartoon aesthetic,88,PeeWeeVibes
"a book a day keeps reality away",1159,low,+220%,bookworm-humor,"t-shirts,tote-bags,bookmarks,mugs","elegant serif with whimsical flourishes","Stack of vintage books forming doorway to fantasy landscape; typography integrated as book spine titles; warm library browns with magical purple portal glow; floating pages and stars",book-lovers-introverts,reader escape quotes|bookworm lifestyle|literary humor,90,BookRealityEscapes
"tater tot cat",1132,very-low,+340%,absurdist-cute,"stickers,t-shirts,pins,phone-cases","playful rounded bubble font","Adorable chonky cat shaped like a crispy tater tot; golden brown fur with crispy texture; sitting in red diner basket; 'TATER TOT CAT' in ketchup-drip font style",gen-z-absurdist-humor,potato cat memes|food cats|cursed cute designs,94,TaterTotCatCraze
"lancashire heeler",962,very-low,+175%,dog-breeds-niche,"t-shirts,mugs,stickers,throw-pillows","classic serif with paw print accents","Detailed portrait of Lancashire Heeler with crown; regal pose against Union Jack elements; 'LANCASHIRE ROYALTY' in gold embossed typography; heraldic shield frame design",dog-breed-enthusiasts-uk,lancashire heeler mom|heeler dad|british dog breeds,87,LancashireHeelerPrints
"xena",954,medium,+125%,90s-warrior-nostalgia,"t-shirts,posters,stickers","bold angular warrior font bronze metallic","Warrior princess silhouette with chakram in dynamic action pose; Greek key border pattern; 'WARRIOR PRINCESS' in hammered bronze 3D text; dark forest background with lightning",90s-nostalgia-strong-women,xena warrior quotes|gabrielle friendship|90s action heroes,85,XenaWarriorArt
"electricity kills",824,low,+195%,dark-humor-safety,"stickers,t-shirts,patches","distressed industrial stencil font","Vintage warning sign aesthetic with skull and lightning bolt; 'ELECTRICITY KILLS' in weathered yellow/black hazard stripes; exposed wire illustrations; industrial grunge texture",electricians-dark-humor,electrical worker humor|danger signs parody|tradesman comedy,82,ElectricityKillsCo
"sex positions t-shirts",755,medium,+165%,adult-humor-satire,"t-shirts,mugs,posters","clean modern sans-serif tongue-in-cheek","Yoga pose silhouettes with satirical position names like 'THE NETFLIX AND ACTUALLY CHILL'; minimalist line art; mature sophisticated color palette of burgundy and gold",adults-25-45-humor,adult yoga humor|relationship jokes|mature comedy,78,SatireSublimeTees
"my boat doesn't run on thanks",690,low,+210%,boating-humor,"t-shirts,stickers,koozies,flags","nautical bold condensed font","Cartoon boat with empty fuel gauge pointing to 'THANKS'; anchor and wave motifs; 'MY BOAT DOESN'T RUN ON THANKS' in navy captain style lettering; sunset marina background",boat-owners-lake-life,boating dad jokes|lake life humor|marina comedy,84,BoatNoThanksCo
"cool iron on patches",658,low,+180%,diy-fashion,"patches,stickers,design-bundles","vintage embroidered patch aesthetic","Collection style sheet showing 6-8 retro patch designs; skulls roses daggers aesthetic; 'IRON ON ATTITUDE' header; worn denim texture background; thread texture on letters",punk-diy-fashion,vintage patches|biker aesthetic|punk accessories,80,CoolIronOnPatchesCo
"im just ken",625,medium,+420%,barbie-movie-viral,"t-shirts,stickers,mugs,hoodies","pink gradient 3D retro font","Ken figure in dramatic spotlight pose; 'I'M JUST KEN' in glowing pink neon against Barbie pink gradient; rhinestone sparkle effects; malibu sunset background",barbie-movie-fans,ken energy|barbie movie quotes|ryan gosling fan,91,KenRetroRebel
"calvin and hobbs",468,high,+95%,nostalgia-comics,"t-shirts,posters,stickers","hand-drawn comic strip font","Boy and tiger silhouette walking into sunset forest; 'EXPLORING EVERYWHERE' in wobbly hand-lettered style; autumn color palette; watercolor wash background texture",comic-strip-nostalgia-30-50,calvin hobbes philosophy|childhood nostalgia|adventure friendship,75,HobbsNostalgiaArt
"for all mankind",450,low,+155%,sci-fi-alt-history,"t-shirts,posters,stickers","NASA retro futurism typography","Alternate history NASA patch design with moon base; 'FOR ALL MANKIND' in 1970s space program font; red white blue patriotic elements; vintage space poster style",sci-fi-space-enthusiasts,apple tv show|alternate history space|retro nasa,79,MankindUniverseArt
"mrballen",414,very-low,+230%,true-crime-mystery,"t-shirts,stickers,hoodies","mysterious hand-painted horror font","Dark forest with hidden eyes and shadows; 'STRANGE DARK MYSTERIOUS' in dripping ink style; podcast microphone silhouette; eerie green glow effect",true-crime-podcast-fans,mrballen quotes|strange stories|mystery podcast,83,MrBallenMysteries
"hank and trash truck",312,very-low,+185%,kids-animation,"stickers,t-shirts,lunch-boxes","playful chunky kids font","Cute raccoon character on garbage truck; 'TRASH TRUCK ADVENTURES' in crayon-style colorful letters; neighborhood scene background; friendly preschool aesthetic",parents-young-kids,netflix kids show|preschool favorites|cute raccoon,81,TrashTruckTales
"hot august nights",234,low,+145%,classic-cars-events,"t-shirts,posters,stickers","chrome 50s diner font with flames","Classic hot rod silhouette against fiery sunset; 'HOT AUGUST NIGHTS' in chrome 3D lettering with flame accents; vintage Americana vibe; neon diner glow",classic-car-enthusiasts,reno car show|classic cars|50s nostalgia,76,AugustNightsDesigns
"tesla bumper stickers",1800,medium,+320%,automotive-satire,"stickers,magnets,decals","bold industrial sans-serif","Anti-Tesla satirical designs: 'AUTOPILOT TEST DUMMY' with crash test dummy icon; 'ELECTRIC REGRET' with dead battery symbol; dark humor automotive criticism",tesla-critics-satire,elon musk satire|ev humor|automotive parody,93,TeslaBumperArt
"heartstopper netflix",2100,medium,+380%,lgbtq-romance,"t-shirts,stickers,posters,pins","soft handwritten script with hearts","Minimalist illustration of two hands reaching; 'HI' speech bubble with hearts; pastel pink and blue gradient; soft romantic aesthetic; leaf motifs from show",lgbtq-youth-romance-fans,nick and charlie|lgbtq pride|netflix romance,96,HeartstopperHaven
"barbie dying",890,low,+275%,dark-barbie-satire,"t-shirts,stickers,mugs","pink distressed horror font","Melting Barbie silhouette in surrealist style; 'EXISTENTIAL CRISIS IN PINK' dripping letters; pastel pink meets horror aesthetic; cracked plastic texture",dark-humor-millennials,dark barbie|plastic satire|millennial existentialism,86,BarbieDyingDesigns
"elon musk scandal",1650,low,+445%,political-satire,"t-shirts,stickers,posters,mugs","tech-corporate with legal motifs","Elon silhouette with Social Security card fragments; 'SOCIAL SECURITY SCANDALS' in corporate legal font with circuit patterns; scales of justice integrated; deep blue and metallic silver palette",political-satire-buyers,doge satire|tech billionaire criticism|political humor,94,MuskScandalsArt
"ai art generator",2400,high,+520%,tech-creative,"t-shirts,stickers,mugs","futuristic glitch digital font","Human hand merging with robotic hand creating art; 'PROMPT ENGINEER' in holographic gradient text; neural network patterns; cyberpunk purple and teal",ai-enthusiasts-artists,prompt engineering|ai artist|digital creative,89,AIArtAlchemy
"generative automation",1890,low,+470%,tech-workflow,"t-shirts,hoodies,mugs","clean modern tech sans-serif","Interconnected workflow nodes with glowing data streams; 'AUTOMATE EVERYTHING' in minimalist tech font; dark mode aesthetic; accent colors of electric blue",developers-automation-fans,workflow automation|ai pipelines|tech productivity,91,GenerativeAutomation
"quantum machine learning",1200,very-low,+420%,emerging-tech,"t-shirts,posters,stickers","scientific modern with quantum symbols","Quantum bits orbiting neural network brain; 'QUANTUM MIND' in sleek futuristic typography; deep space background with equation overlays; purple and cyan glow",data-scientists-tech,qml research|quantum computing|ai future,88,QuantumMLDesigns
