00:00 -- 00:15:  ♪
00:15 -- 00:24:  ♪ Moonlit valleys callin' Willow trees sway slow ♪
00:24 -- 00:32:  ♪ Heartbreak like a whisper In the still of night it grows ♪
00:32 -- 00:42:  ♪ Once was joy and mourning Now the shadows cast so deep ♪
00:42 -- 00:50:  ♪ Echoes of the laughter Fade into the dreams we keep ♪
00:50 -- 00:59:  ♪ Heartbreak hope and memories Dancing with the trees ♪
00:59 -- 01:07:  ♪ Moonlit nights and willow whispers Take me back please ♪
01:07 -- 01:15:  ♪ In the night so silent Loneliness does creep ♪
01:15 -- 01:24:  ♪ Yet the moon she guides me Through the pain in which I weep ♪
01:24 -- 01:33:  ♪ Heartbreak hope and memories Dancing with the trees ♪
01:33 -- 01:42:  ♪ Moonlit nights and willow whispers Take me back please ♪
01:42 -- 01:49:  ♪ From the sorrow rises Hope that never dies ♪
01:49 -- 01:57:  ♪ Whispering willows listen To the heartfelt cries ♪
01:57 -- 02:07:  ♪♪
02:07 -- 02:17:  ♪♪
02:17 -- 02:27:  ♪♪
02:27 -- 02:37:  ♪♪
02:37 -- 02:47:  ♪♪
02:47 -- 02:54:  ♪ From the sorrow rises Hope that never dies ♪
02:54 -- 03:02:  ♪ Whispering willows listen To the heartfelt cries ♪
03:02 -- 03:12:  ♪♪
03:12 -- 03:22:  ♪♪
03:22 -- 03:32:  ♪♪
03:32 -- 03:42:  ♪♪
03:42 -- 03:47:  ♪♪
