type,target_keyword,intent,why_low_comp,content_angle
Pillar,best obsidian plugins,comparison,Not low; use as pillar and win via topical authority + internal links,"Ultimate 2026 guide with task, automation, AI, and study workflows; include screenshots & setup steps"
Pillar,trending obsidian plugins,freshness/news,Not low; win with monthly refresh + 'trending' definitions,Monthly 'hot rising' report using Obsidian Stats trending method + install deltas
Long-tail,obsidian quiz generator plugin,solution,Very specific workflow keyword; fewer established SEO pages; high intent,Turn notes into quizzes + export to flashcards; include templates and sample outputs
Long-tail,obsidian ai spaced repetition plugin,solution,Niche intersection (AI + SRS),Compare Spaced Repetition AI vs Quiz Generator + best setups
Long-tail,obsidian minimal quiz plugin,solution,Exact plugin name query; easy to rank with tutorial,"Quick start, commands, markdown syntax examples"
Long-tail,obsidian create flashcards from notes automatically,how-to,Workflow phrasing; lots of search variants,"3 ways: inline cards, AI generation, Anki sync; show pros/cons"
Long-tail,obsidian exam questions from notes,how-to,Education intent + Obsidian niche,Generate Bloom taxonomy questions; add YAML metadata & difficulty
Long-tail,obsidian anki connect workflow,how-to,Specific integration,"Setup AnkiConnect, export formats, troubleshooting"
Long-tail,obsidian study system for medical school,use-case,Use-case niche; underserved,Daily notes + spaced repetition + quizzes; 7-day onboarding plan
Long-tail,obsidian spaced repetition for language learning,use-case,Use-case niche; fewer deep guides,"Vocabulary pipelines, cloze deletions, review schedules"
Long-tail,obsidian active recall workflow,how-to,Strong intent phrase; many non-Obsidian results,Active recall templates + Tasks + review dashboards
Long-tail,obsidian dataview study dashboard,how-to,Specific combo,"Dataview queries for review queues, due cards, topic coverage"
Long-tail,obsidian template for quiz questions,download,Template/download intent; easy to win with freebies,Free template pack + example note
Long-tail,obsidian generate multiple choice questions,how-to,Specific output type,MCQ patterns + explanations; export to Anki or markdown
Long-tail,obsidian create cloze deletions,how-to,Specific SRS syntax,Cloze syntax + pipelines; common mistakes
Long-tail,obsidian local llm plugin,solution,New-ish niche,Local REST API + Vault LLM Assistant setups; privacy-first study workflows
Long-tail,obsidian open in terminal plugin,utility,Exact plugin name query; low competition,"Dev workflows: git, scripts, automation triggers"
Long-tail,obsidian auto keyword linker plugin,solution,New plugin name; low SEO saturation,Auto-linking strategy without link spam; settings & best practices
