00:00 -- 00:08:  ♪
00:08 -- 00:11:  ♪ Marking for a never stray ♪
00:12 -- 00:15:  ♪ Enchanted walks night and day ♪
00:16 -- 00:19:  ♪ Holding death in primal sight ♪
00:19 -- 00:23:  ♪ In the dark we find our light ♪
00:24 -- 00:27:  ♪ Familiar close by my side ♪
00:28 -- 00:31:  ♪ Through the night we're on this ride ♪
00:32 -- 00:34:  ♪ Facing shadows hearts align ♪
00:35 -- 00:38:  ♪ In the void our stars will shine ♪
00:39 -- 00:42:  ♪ In the woods where shadows play ♪
00:43 -- 00:46:  ♪ We will wander come what may ♪
00:47 -- 00:50:  ♪ Through the darkness we will fly ♪
00:51 -- 00:54:  ♪ Finding strength beneath the sky ♪
00:55 -- 00:59:  ♪ No more fear just endless dreams ♪
01:00 -- 01:03:  ♪ Echoes hold our secret schemes ♪
01:04 -- 01:06:  ♪ Mystic paths we tread tonight ♪
01:07 -- 01:11:  ♪ Hearts ignite like fireflies bright ♪
01:12 -- 01:15:  ♪ Familiar close by my side ♪
01:16 -- 01:19:  ♪ Through the night we're on this ride ♪
01:20 -- 01:22:  ♪ Facing shadows hearts align ♪
01:22 -- 01:26:  ♪ In the void our stars will shine ♪
01:27 -- 01:30:  ♪ In the woods where shadows play ♪
01:31 -- 01:34:  ♪ We will wander come what may ♪
01:35 -- 01:38:  ♪ Through the darkness we will fly ♪
01:39 -- 01:42:  ♪ Finding strength beneath the sky ♪
01:43 -- 01:46:  ♪ In the woods where shadows play ♪
01:47 -- 01:50:  ♪ We will wander come what may ♪
01:50 -- 01:54:  ♪ Through the darkness we will fly ♪
01:55 -- 01:58:  ♪ Finding strength beneath the sky ♪
01:59 -- 02:03:  ♪ Ooh ooh ooh ooh ♪
02:04 -- 02:07:  ♪ Ooh ooh ooh ooh ♪
02:08 -- 02:11:  ♪ Ooh ooh ooh ooh ♪
02:12 -- 02:14:  ♪ Ooh ooh ooh ooh ♪
02:15 -- 02:18:  ♪ Orb of future stems the streams ♪
02:19 -- 02:22:  ♪ Echoes home our secrets schemes ♪
02:22 -- 02:26:  ♪ Mystic path we tread tonight ♪
02:27 -- 02:31:  ♪ Hearts ignite like fireflies bright, bright ♪
02:32 -- 02:39:  ♪ Whisper winds guide us forth to the edge of this earth ♪
02:40 -- 02:46:  ♪ Silent oaths the woods confide, unity in every stride ♪
02:47 -- 02:54:  ♪ In the woods where shadows play, we will wander come what may ♪
02:55 -- 03:02:  ♪ Through the darkness we will fly, finding strength beneath the sky ♪
03:03 -- 03:10:  ♪ In the woods where shadows play, we will wander come what may ♪
03:10 -- 03:19:  ♪ Through the darkness we will fly, finding strength beneath the sky ♪
