keyword,growth,difficulty,intent,seo_score,aeo_score,pack_relevance
AI Voice Generator,1500,2,creator,95,95,"Faceless_YouTube_AI,AI_Content_Repurposing"
Local LLM,450,2,developer,96,96,"Local_LLM_Workflow,Local_AI_Assistant"
Private GPT,380,2,privacy,97,97,"Private_GPT_Alternative,Private_AI_Chat"
AI Video Generator,400,2,creator,95,95,"AI_Content_Repurposing,TikTok_AI_Video_Generator"
Answer Engine Optimization,400,4,marketing,98,98,"ALL"
AI Note Taking,350,3,productivity,94,94,"AI_Note_Taker,Obsidian_AI_Automation"
Faceless YouTube Channel,320,2,creator,91,91,"Faceless_YouTube_AI,YouTube_Shorts_Automation"
Offline AI Assistant,310,2,privacy,95,95,"Offline_AI_Assistant,Local_AI_Assistant"
TikTok AI Generator,330,2,creator,91,91,"TikTok_AI_Video_Generator,Instagram_Reel_Generator"
AI Transcription,280,3,productivity,93,93,"AI_Note_Taker,Podcast_to_Shorts_AI"
AI Agents Framework,250,3,developer,94,94,"AI_Agents_Framework,AI_Workflow_Automation"
AI Content Repurposing,290,2,creator,92,92,"AI_Content_Repurposing,Podcast_to_Shorts_AI"
YouTube Shorts Automation,270,2,creator,90,90,"YouTube_Shorts_Automation,AI_Content_Repurposing"
Second Brain AI,240,3,productivity,93,93,"Second_Brain_AI,Obsidian_AI_Automation"
AI Mini PC Setup,260,3,hardware,92,92,"AI_Mini_PC_Setup,Local_LLM_Workflow"
Obsidian AI Automation,220,2,productivity,94,94,"Obsidian_AI_Automation,AI_Note_Taker"
Podcast to Shorts,280,2,creator,90,90,"Podcast_to_Shorts_AI,AI_Content_Repurposing"
AI Workflow Automation,250,3,business,93,93,"AI_Workflow_Automation,AI_Agents_Framework"
AI Knowledge Base,230,3,enterprise,92,92,"AI_Knowledge_Base,Second_Brain_AI"
Private AI Chat,300,2,privacy,96,96,"Private_AI_Chat,Private_GPT_Alternative"
Local AI Assistant,300,2,productivity,95,95,"Local_AI_Assistant,Offline_AI_Assistant"
Instagram Reel Generator,290,2,creator,91,91,"Instagram_Reel_Generator,TikTok_AI_Video_Generator"
AI Image Enhancer,9000,2,creator,94,94,"AI_Content_Repurposing,Faceless_YouTube_AI"
AI Personal Assistant,2600,3,productivity,93,93,"Local_AI_Assistant,AI_Workflow_Automation"
AI for Teachers,7600,2,education,92,92,"AI_Note_Taker,AI_Knowledge_Base"
