[0.00 - 9.60]  In the shadows on and cold, we found the lies unfold beneath the whispers.
[9.60 - 21.00]  Cars' truths yet on top, they call the project 2025, buried deep inside beneath the mosques to see their secrets and eye.
[22.00 - 32.00]  The soft whispers in the dark, the singers voice does heart, candlelight reveals the mark, and broken hearts embark.
[32.00 - 40.00]  Through forest and gray, we're trust is gonna stray, in silent cries our fears display.
[40.00 - 48.00]  Unveil the veil of schemes shatter, the hidden dreams, in haunted landings, we chase the silent screams.
[48.00 - 57.00]  Project 2025 will tear the truths alive with every cord and riding we fight, we strive.
[60.00 - 68.00]  Old ghosts of yesterday linger in the fray, that goes in dismay in the softest voice this way.
[69.00 - 77.00]  We are the light, shying through the night, in harminies, we'll find our flight.
[77.00 - 87.00]  Through broken glass and paint, a truth we shall regain, the power undermined by love that binds or dain, under layers of deceit.
[87.00 - 94.00]  Our voices rise complete, in every note, to fight, to fight defeat.
[95.00 - 109.00]  Unveil the veil of schemes shatter, the hidden dreams, in haunted landings, we chase the silent screams.
[109.00 - 117.00]  Project 2025 will tear the truths alive with every cord and riding we fight, we strive.
[118.00 - 126.00]  Unveil the veil of schemes shatter, the hidden dreams, in haunted landings, we chase the silent screams.
[126.00 - 135.00]  Project 2025 will tear the truths alive with every cord and riding we fight, we strive.
[135.00 - 142.00]  Unveil the veil of schemes shatter, the hidden dreams, in haunted landings, we chase the silent screams.
[142.00 - 150.00]  Project 2025 will tear the truths alive with every cord and riding we fight, we strive.
