[30.00 - 33.00]  Which I'm getting flowed
[33.00 - 37.00]  In the midnight glow
[37.00 - 41.00]  The kiln is set in time
[41.00 - 45.00]  To the light of the sky
[45.00 - 47.00]  Level of take flight
[47.00 - 50.00]  Gaining through the night in the secret tent
[50.00 - 52.00]  Fictionary once again
[52.00 - 55.00]  The moon is gonna be flying
[55.00 - 58.00]  In the virtual world
[59.00 - 61.00]  Master of the flight
[61.00 - 64.00]  Gaining through the night in the secret tent
[64.00 - 66.00]  Fictionary once again
[66.00 - 68.00]  The clock is closing
[68.00 - 70.00]  The plane
[70.00 - 73.00]  Racken loans a day
[73.00 - 76.00]  Hits the world's aright
[76.00 - 80.00]  We enjoy it to the end
[81.00 - 83.00]  Fictionary once again
[83.00 - 85.00]  The moon is gonna be flying
[85.00 - 87.00]  In the night glow
[87.00 - 90.00]  Racken is set in time
[90.00 - 94.00]  To the virtual sky
[94.00 - 98.00]  Level of take flight
[98.00 - 102.00]  Gaining through the night
[102.00 - 105.00]  In the secret tent
[105.00 - 109.00]  Fictionary once again
[109.00 - 112.00]  The moon is gonna be flying
[112.00 - 114.00]  In the virtual world
[114.00 - 117.00]  Master of the day
[117.00 - 120.00]  Hits the world's aright
[120.00 - 124.00]  We enjoy it to the end
