00:00 -- 00:06:  ♪
00:06 -- 00:09:  Marching ever forward
00:09 -- 00:12:  Neath the wooded shrine
00:12 -- 00:15:  I stray not from the path
00:15 -- 00:18:  I hold death's hand in mine
00:18 -- 00:22:  Primal night, give it sight
00:22 -- 00:25:  Familiar by thy sight
00:25 -- 00:28:  If sun be gone we carry on
00:28 -- 00:32:  Spirit at all God
00:32 -- 00:35:  Down, down
00:35 -- 00:40:  Down the road, down the wretched road
00:40 -- 00:43:  Down, down
00:43 -- 00:48:  Down the road, down the wretched road
00:48 -- 00:51:  Down, down, down the road
00:51 -- 00:55:  Down the wretched road
00:55 -- 00:58:  At the ends of earth
00:58 -- 01:01:  We rise
01:01 -- 01:04:  Cross over
01:04 -- 01:09:  Through the realms we fly
01:09 -- 01:13:  Lost soul in my arms
01:13 -- 01:16:  Show me your scars
01:16 -- 01:19:  In this
01:19 -- 01:22:  We're alive
01:22 -- 01:26:  No wrong or right
01:26 -- 01:29:  In this
01:29 -- 01:32:  We're alive
01:32 -- 01:36:  Spirit lead
01:36 -- 01:39:  The way through darkened skies
01:39 -- 01:42:  Don't look back
01:42 -- 01:45:  And don't ask why
01:45 -- 01:49:  The only thing
01:49 -- 01:52:  I need tonight
01:52 -- 01:57:  Is you and I
