00:00 -- 00:12:  ♪
00:12 -- 00:15:  ♪ Marching forward, never stray ♪
00:15 -- 00:19:  ♪ Enchanted woods, night and day ♪
00:19 -- 00:22:  ♪ Holding death's hand, primal sight ♪
00:22 -- 00:25:  ♪ In the dark, we find our light ♪
00:25 -- 00:29:  ♪ Familiar clothes by my side ♪
00:29 -- 00:32:  ♪ Through the night, we're on this ride ♪
00:32 -- 00:35:  ♪ Facing shadows, harps align ♪
00:35 -- 00:39:  ♪ In the void, our stars will shine ♪
00:39 -- 00:42:  ♪ In the woods, where shadows play ♪
00:42 -- 00:45:  ♪ We will wander, come what may ♪
00:45 -- 00:48:  ♪ Through the darkness, we will fly ♪
00:48 -- 00:52:  ♪ Finding strength beneath the sky ♪
00:52 -- 00:55:  ♪ No more fear, just endless dreams ♪
00:55 -- 00:58:  ♪ Echoes hold our secret schemes ♪
00:58 -- 01:02:  ♪ Mystic paths, we tread tonight ♪
01:02 -- 01:06:  ♪ Hearts ignite like fireflies, bright, bright ♪
01:06 -- 01:18:  ♪♪
01:18 -- 01:21:  ♪ Familiar clothes by my side ♪
01:21 -- 01:25:  ♪ Through the night, we're on this ride ♪
01:25 -- 01:28:  ♪ Facing shadows, harps align ♪
01:28 -- 01:31:  ♪ In the void, our stars will shine ♪
01:31 -- 01:35:  ♪ In the woods, where shadows play ♪
01:35 -- 01:38:  ♪ We will wander, come what may ♪
01:38 -- 01:41:  ♪ Through the darkness, we will fly ♪
01:41 -- 01:44:  ♪ Finding strength beneath the sky ♪
01:44 -- 01:48:  ♪ No more fear, just endless dreams ♪
01:48 -- 01:51:  ♪ We will wander, come what may ♪
01:51 -- 01:54:  ♪ Through the darkness, we will fly ♪
01:54 -- 01:58:  ♪ Finding strength beneath the sky, bright ♪
01:58 -- 02:04:  ♪♪
02:04 -- 02:07:  ♪ No more fear, just endless dreams ♪
02:07 -- 02:11:  ♪ We will wander, come what may ♪
02:11 -- 02:14:  ♪ Through the darkness, we will fly ♪
02:14 -- 02:18:  ♪ Finding strength beneath the sky, bright ♪
02:18 -- 02:28:  ♪♪
