[0.00 - 3.92]  Why do 70% of Americans fear their government?
[3.92 - 12.00]  The Answer Lies in Project 2025, a sinister blueprint of control is unfolding right under our noses.
[12.00 - 18.56]  Dark clouds gather over the capital, symbolizing a storm ready to unleash chaos.
[18.56 - 26.64]  Behind closed doors, a network of organizations, weaves, a web of influence, all connected by a blueprint of power.
[26.72 - 32.56]  The White House sits at the centre, surrounded by blood-red lines, each one a plan to tighten control.
[32.56 - 37.76]  Massive shadowy hands grip our government buildings, claws digging in deep.
[37.76 - 42.24]  The pressure is mounting and our institutions are cracking under the strain.
[42.24 - 48.24]  From curtailing your online freedoms to watching your every move, the target is you.
[48.24 - 53.20]  Faceless figures lurk in the shadows, ready to pounce on any sign of dissent.
[53.36 - 58.72]  Above our cities, a watchful eye never blinks, a symbol of the surveillance state looming over us all.
[59.68 - 62.72]  It's time to unmask Project 2025.
[62.72 - 64.96]  Are you ready to face the truth?
