00:00 -- 00:10:  eerrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
00:11 -- 00:18:  eerrrrrrrrrrrrrrrrrrrrrrr
00:22 -- 00:23:  Dark alley, shadows shifting
00:23 -- 00:25:  echo gold chains clinking
00:25 -- 00:26:  city breathes tension
00:26 -- 00:28:  heroes and villains break the collision
00:28 -- 00:29:  mass faces in the twilight
00:29 -- 00:31:  good and evil, constant fight
00:31 -- 00:32:  powerful punches, neon streaks
00:32 -- 00:34:  slicing the night light
00:34 -- 00:35:  super crooks scheming
00:35 -- 00:37:  villains plotting, dollars dreaming
00:37 -- 00:38:  capes swishing through smoke
00:38 -- 00:39:  bloody knuckles gleaming
00:39 -- 00:40:  invincible courage
00:40 -- 00:42:  fists colliding, glass shattering
00:42 -- 00:44:  streets buzz, heroes grit
00:44 -- 00:45:  villains dark mattering
00:45 -- 00:51:  Underneath the moon's cold glow
00:51 -- 00:57:  heroes rise, villains overthrow
00:57 -- 01:02:  Battles loud in the grime and glow
01:02 -- 01:07:  Destinies in the flow we tow
01:07 -- 01:10:  To Tome
01:20 -- 01:21:  Concrete jungle rumble
01:21 -- 01:22:  secret hideouts tumble
01:22 -- 01:24:  code name whispers
01:24 -- 01:25:  iron fists crumble
01:25 -- 01:27:  boom bap back drop
01:27 -- 01:28:  heroes leap rooftops
01:28 -- 01:29:  villains deal crooked plots
01:29 -- 01:31:  ticking bombs, clock stop
01:31 -- 01:32:  jet fuel boots
01:32 -- 01:34:  fists igniting cosmic fights
01:34 -- 01:35:  heroes lost, villains gain control
01:35 -- 01:37:  slip at night from the ash
01:37 -- 01:39:  reborn the fighters with might
01:39 -- 01:40:  in the chaos
01:40 -- 01:42:  they're the sparks to the spite
01:42 -- 01:44:  one leap, two steps
01:44 -- 01:45:  infinity war rolls
01:45 -- 01:47:  betrayals, truths, fates
01:47 -- 01:48:  dice and scrolls
01:48 -- 01:49:  powers clash, truth masked
01:49 -- 01:50:  reality folds
01:50 -- 01:52:  heroes rise, villains rule
01:52 -- 01:55:  script unfolds
