[0.00 - 3.20] 크림
[30.00 - 33.00]  of the screen within the tree
[36.00 - 39.00]  In garbage, clothing play
[40.00 - 42.00]  Radcloth on the day
[44.00 - 46.00]  It's the world's alright
[47.00 - 49.00]  When you join to the ice
[51.00 - 54.00]  Glitch and cake flow
[55.00 - 57.00]  In the midnight blow
[58.00 - 60.00]  Radcloth on the day
[61.00 - 63.00]  It's the world's alright
[72.00 - 75.00]  Level up for a lot of cake flight
[76.00 - 78.00]  Gaining food at night
[79.00 - 84.00]  In this secret dead victory once again
[87.00 - 90.00]  In garbage, clothing play
[91.00 - 93.00]  Radcloth on the day
[95.00 - 97.00]  It's the world's alright
[98.00 - 100.00]  When you join to the ice
[101.00 - 103.00]  The world's alright
[106.00 - 108.00]  The world's alright
[109.00 - 111.00]  Glitch and cake flow
[112.00 - 114.00]  In the midnight blow
[115.00 - 118.00]  Radcloth on the day
[119.00 - 122.00]  It's the world's alright
[123.00 - 125.00]  In the midnight blow
[126.00 - 128.00]  Radcloth on the day
[128.00 - 130.00]  It's the world's alright
[131.00 - 133.00]  Level up for a lot of cake flight
[134.00 - 137.00]  Gaining food at night
[138.00 - 142.00]  In this secret dead victory once again
[145.00 - 149.00]  In garbage, clothing play
[150.00 - 152.00]  Radcloth on the day
[153.00 - 156.00]  It's the world's alright
[156.00 - 159.00]  When you join to the ice
