"Old Name","New Name","Category","Action","Reason"
"organized","Active_Projects","Project Organization","Rename","Consolidate active projects into a clearer category"
"organized/strategies","Active_Projects/AI_Automation/Strategies","Project Organization","Move","Relocate strategies under AI Automation projects"
"organized/guides","Active_Projects/AI_Automation/Guides","Project Organization","Move","Relocate guides under AI Automation projects"
"organized/reports","Active_Projects/AI_Automation/Reports","Project Organization","Move","Relocate reports under AI Automation projects"
"organized/configs","Active_Projects/AI_Automation/Configs","Project Organization","Move","Relocate configs under AI Automation projects"
"organized/templates","Active_Projects/AI_Automation/Templates","Project Organization","Move","Relocate templates under AI Automation projects"
"organized/audio-analysis","Active_Projects/AI_Automation/Audio_Analysis","Project Organization","Move","Relocate audio analysis under AI Automation projects"
"organized/transcripts","Active_Projects/AI_Automation/Transcripts","Project Organization","Move","Relocate transcripts under AI Automation projects"
"organized/temp-files","Active_Projects/AI_Automation/Temp_Files","Project Organization","Move","Relocate temp files under AI Automation projects"
"knowledge-base","Knowledge_Base","Knowledge Management","Rename","Separate knowledge management from active projects"
"workspace","Active_Projects","Project Organization","Rename","Consolidate workspace projects into main active projects"
"workspace/avatararts-complete","Active_Projects/AI_Automation/AvatarArts_Suite","Project Organization","Move","Specific AI automation project"
"workspace/music-empire","Active_Projects/AI_Automation/Music_Empire","Project Organization","Move","Specific AI automation project"
"workspace/quantumforge-landing","Active_Projects/Web_Development/QuantumForge_Landing","Web Development","Move","Web development project"
"workspace/creative-automation-suite","Active_Projects/AI_Automation/Creative_Automation_Suite","Project Organization","Move","Creative automation tools"
"workspace/ai-automation-hub","Active_Projects/AI_Automation/AI_Automation_Hub","Project Organization","Move","Central AI tools hub"
"Web-Archives","Archives/Web_Archives","Archives","Rename","Move to dedicated archives section"
"Web-Archives/QuantumForgeLabs","Archives/Web_Archives/QuantumForgeLabs","Archives","Keep","Preserve web-archived content"
"Web-Archives/AvatarArts","Archives/Web_Archives/AvatarArts","Archives","Keep","Preserve web-archived content"
"Web-Archives/GPTJunkie","Archives/Web_Archives/GPTJunkie","Archives","Keep","Preserve web-archived content"
"CSV_Explorer","Data_Analysis/CSV_Analysis","Data Management","Move","Group with other data analysis tools"
"CSV_Explorer/csv_reports","Data_Analysis/CSV_Analysis/Reports","Data Management","Move","Organize CSV reports"
"CSV_Explorer/tools","Data_Analysis/CSV_Analysis/Tools","Data Management","Move","Organize CSV tools"
"paste_export","Data_Analysis/Clipboard_Data","Data Management","Move","Group with other data exports"
"paste-clipboard-export","Data_Analysis/Clipboard_Data","Data Management","Move","Group with other data exports"
"paste-clipboard-FULL-export","Data_Analysis/Clipboard_Data","Data Management","Move","Group with other data exports"
"As-a-Man-Thinketh","Personal/Literature/As_a_Man_Thinketh","Literature","Move","Consolidate into personal literature section"
"Obsidian Vault","Personal/Knowledge_Management/Obsidian_Vault","Knowledge Management","Move","Group knowledge management tools"
"README_CONSOLIDATION_PROJECT.md","Documentation/README_CONSOLIDATION_PROJECT.md","Documentation","Move","Group documentation separately"
"CONSOLIDATION_PLAN.md","Documentation/CONSOLIDATION_PLAN.md","Documentation","Move","Group documentation separately"
"ANALYSIS_REPORT.md","Documentation/ANALYSIS_REPORT.md","Documentation","Move","Group documentation separately"
"HOME_DIRECTORY_ANALYSIS.md","Documentation/HOME_DIRECTORY_ANALYSIS.md","Documentation","Move","Group documentation separately"
"COMPLETE_FILE_CATALOG.json","Data_Analysis/COMPLETE_FILE_CATALOG.json","Data Management","Move","Group with other data files"
"github_harbor_dedup_report.csv","Data_Analysis/Reports/github_harbor_dedup_report.csv","Data Management","Move","Group with other reports"
"pythons_dedup_report.csv","Data_Analysis/Reports/pythons_dedup_report.csv","Data Management","Move","Group with other reports"
"pythons_dedup_report.json","Data_Analysis/Reports/pythons_dedup_report.json","Data Management","Move","Group with other reports"
"SESSION_SUMMARY.md","Documentation/SESSION_SUMMARY.md","Documentation","Move","Group documentation separately"
"DEDUPLICATION_REPORT.md","Documentation/DEDUPLICATION_REPORT.md","Documentation","Move","Group documentation separately"
"QUICK_START.md","Documentation/QUICK_START.md","Documentation","Move","Group documentation separately"
"all.txt","Data_Analysis/Text_Archive/all.txt","Data Management","Move","Group with other data files"
"DUPLICATE_ANALYSIS_*.json","Data_Analysis/Reports/Duplicate_Analysis","Data Management","Move","Group with other reports"
"FOLDER_DEPTH_ANALYSIS_*.json","Data_Analysis/Reports/Folder_Depth_Analysis","Data Management","Move","Group with other reports"
"MP3_SEARCH_*.json","Data_Analysis/Reports/MP3_Search","Data Management","Move","Group with other reports"
"ORGANIZATION_PLAN_*.json","Data_Analysis/Reports/Organization_Plan","Data Management","Move","Group with other reports"
"artificial_intelligence_101toknow.txt","Personal/Learning/AI_101.txt","Learning Materials","Move","Group learning materials"
"as_a_man_thinketh_package.zip","Personal/Literature/As_a_Man_Thinketh/as_a_man_thinketh_package.zip","Literature","Move","Consolidate with other literature"
"Claude-Convo-Export.zip","Personal/Knowledge_Management/Claude_Conversations.zip","Knowledge Management","Move","Group with knowledge management"
"client_secret_*.json","Active_Projects/Configs/API_Credentials.json","Configuration","Move","Group with other config files"
"COMPLETE_FILE_CATALOG.json","Data_Analysis/COMPLETE_FILE_CATALOG.json","Data Management","Move","Group with other data files"
"CONSOLIDATION_PLAN.md","Documentation/CONSOLIDATION_PLAN.md","Documentation","Move","Group documentation separately"
"extracting_info_from_html_code.md","Documentation/HTML_Information_Extraction.md","Documentation","Move","Group documentation separately"
"HOME_DIRECTORY_ANALYSIS.md","Documentation/HOME_DIRECTORY_ANALYSIS.md","Documentation","Move","Group documentation separately"
