00:00 -- 00:14:  ♪
00:14 -- 00:18:  ♪ Dark alley, shadows shifting, echo, gold chains clinking ♪
00:18 -- 00:22:  ♪ City breath, tension, heroes and villains bring the collision ♪
00:22 -- 00:26:  ♪ Masked faces in the twilight, good and evil, constant fight ♪
00:26 -- 00:30:  ♪ Powerful punches, neon streaks, slicing the nightlight ♪
00:30 -- 00:33:  ♪ Super crooks scheming, villains plotting, dollars dreaming ♪
00:33 -- 00:37:  ♪ Capes swishing through smoke, bloody knuckles gleaming ♪
00:37 -- 00:41:  ♪ Invincible courage, fists colliding, glass shattering ♪
00:41 -- 00:46:  ♪ Streets buzz, heroes grit, villains dogmattering ♪
00:46 -- 00:53:  ♪ Underneath the moon's cold glow, heroes rise, villains overthrow ♪
00:53 -- 01:01:  ♪ Battles loud, in the grime and glow, destinies in the flow, we toe to toe ♪
01:01 -- 01:08:  ♪ Underneath the moon's cold glow, heroes rise, villains overthrow ♪
01:09 -- 01:16:  ♪ Battles loud, in the grime and glow, destinies in the flow, we toe to toe ♪
01:30 -- 01:34:  ♪ Concrete jungle rumbles, secret hideouts tumble ♪
01:34 -- 01:40:  ♪ Codename whispers, iron fists crumble, boom bap backdrop ♪
01:40 -- 01:45:  ♪ Heroes leap, rooftops, villains deal, crooked plots, ticking bombs, clock stop ♪
01:45 -- 01:51:  ♪ Jet-fueled boots, fists igniting, cosmic fights, heroes lost, villains gained ♪
01:51 -- 01:56:  ♪ Control slipping, night from the ash, reborn the fighters with might ♪
01:56 -- 02:04:  ♪ In the chaos, they're the sparks to the spite, one leap, two steps, infinity war rolls ♪
02:04 -- 02:12:  ♪ Betrayals, truths, fates, dice in the scrolls, powers clash, truth masks, reality folds ♪
02:12 -- 02:17:  ♪ Heroes rise, villains rule, script unfolds ♪
02:17 -- 02:24:  ♪ Underneath the moon's cold glow, heroes rise, villains overthrow ♪
02:24 -- 02:32:  ♪ Battles loud in the grime and glow, destinies in the flow, we toe to toe ♪
02:32 -- 02:39:  ♪ Underneath the moon's cold glow, heroes rise, villains overthrow ♪
02:39 -- 02:47:  ♪ Battles loud in the grime and glow, destinies in the flow, we toe to toe ♪
