Title,Question,A,B,C,Answer,Sort,description,Hook,Keywords,GPTdetail,GPTprompt,URL
Wizarding Wonders! ✨ #PotterQuiz,Which house at Hogwarts does Harry Potter belong to?,Ravenclaw,Hufflepuff,Gryffindor,Gryffindor,C,"Step into the magical world of Hogwarts and discover which house Harry Potter belongs to. Is it Ravenclaw, Hufflepuff, or Gryffindor?",Unlock the magic of Harry's house!,"Harry Potter, Hogwarts houses, wizarding world, Potter trivia",,,
Virtual Builder! 🛠️ #MinecraftMagic,What is essential for crafting a crafting table in Minecraft?,Wood Planks,Cobblestone,Iron Ore,Wood Planks,A,Explore the essentials of crafting in Minecraft. What do you need to create a crafting table?,Craft your way to mastery!,"Minecraft, crafting, gaming, building trivia",,,
Virtual Builder! 🛠️ #MinecraftMagic,What is essential for crafting a crafting table in Minecraft?,Iron Ore,Wood Planks,Cobblestone,Wood Planks,B,Master the art of crafting in Minecraft. What is essential for creating a crafting table? Discover the key ingredient in this builder's challenge.,Craft your way to mastery!,"Minecraft, crafting, gaming, building trivia",,,
Virtual Builder! 🛠️ #MinecraftMagic,What is essential for crafting a crafting table in Minecraft?,Iron Ore,Wood Planks,Cobblestone,Wood Planks,B,"Explore the heart of Skyrim and determine its capital city. Is it Whiterun, Riften, or Solitude in this RPG trivia challenge?",Craft your way to mastery!,"Minecraft, crafting, gaming, building trivia",,,
Virtual Builder! 🛠️ #MinecraftMagic,What is essential for crafting a crafting table in Minecraft?,Cobblestone,Wood Planks,Iron Ore,Wood Planks,B,"In the world of Minecraft, what material is crucial for crafting a table? Engage in this crafting quiz to enhance your building expertise.",Master the art of Minecraft crafting!,"Minecraft, crafting, gaming, building",,,
The Shield of Justice! 🛡️ #MarvelMysteries,What is Captain America's shield made of?,Adamantium,Steel,Vibranium,Vibranium,C,"Dive into the Marvel Universe and find out what Captain America's shield is made of. Is it Adamantium, Steel, or Vibranium?",Discover the secret of Cap's shield!,"Captain America, shield material, Marvel trivia, superhero secrets",,,
The Might of Asgard! ⚡ #ThorRiddles,What realm is Thor from in Norse mythology and Marvel Comics?,Midgard,Asgard,Jotunheim,Asgard,B,"Challenge your knowledge of Norse mythology and Marvel Comics by identifying Thor's realm. Is it Midgard, Asgard, or Jotunheim?",Unlock the realm of the Thunder God!,"Thor, Asgard, Norse mythology, Marvel trivia, Thor's realm",,,
The Galactic Query! 🌌 #StarQuiz,What substance powers the Starship Enterprise's warp drive?,Dilithium Crystals,Tachyon Particles,Neutronium Alloy,Dilithium Crystals,A,"Dive into the cosmos and discover what powers the iconic Starship Enterprise's warp drive. Is it Dilithium Crystals, Tachyon Particles, or Neutronium Alloy?",Uncover the energy secret of the Enterprise!,"Star Trek trivia, warp drive, Dilithium Crystals, cosmic secrets",,,
The Final Frontier! 🚀 #SpaceTrivia,"In Star Trek, what is the primary mission of the Starship Enterprise?",Time Travel,To Boldly Go Where No Man Has Gone Before,Planetary Mining,To Boldly Go Where No Man Has Gone Before,B,"Embark on a Star Trek adventure and explore the primary mission of the Starship Enterprise. Is it Time Travel, To Boldly Go Where No Man Has Gone Before, or Planetary Mining?",Explore the stars with the Enterprise!,"Star Trek, Enterprise mission, space exploration, sci-fi quiz",,,
Survival Tactics! 🏝️ #SurvivalGames,"In ""The Forest,"" what is the main objective of the player?",Build a shelter,Find your son,Escape the island,Find your son,B,"Uncover the main objective in The Forest. Are players tasked with building a shelter, finding their son, or escaping the island?",Unravel the mystery of The Forest!,"The Forest, survival game, gaming challenge",,,
Strategy and Conquest! 🏰 #StrategyGames,"In ""Civilization VI,"" what is the ultimate goal of the game?",Conquer the world,Advance technology,Diplomatic victory,Conquer the world,A,"Define your strategy in Civilization VI. What's the ultimate goal? Is it conquering the world, advancing technology, or achieving diplomatic victory?",Build your empire in Civilization VI!,"Civilization VI, strategy game, world domination",,,
Strategic Chess! ♟️ #BoardGameBrains,What unique feature does this game offer compared to traditional chess?,Animated battles,Multiple boards,Custom time limits,Animated battles,A,"Dive into the strategic depths of chess in ""Battle Chess.""",Board Game,"Battle Chess, strategy games, chess",,,
Space Exploration! 🚀 #SpaceGames,"In ""Elite Dangerous,"" what is one of the main activities players engage in?",Trading,Farming,Racing,Trading,A,"Engage in space trading, farming, or racing in Elite Dangerous. What's one of the main activities players partake in this vast universe?",Navigate the cosmos in Elite Dangerous!,"Elite Dangerous, space exploration, sci-fi gaming",,,
Sci-Fi Puzzler! 🔍 #SpaceRiddle,"In ""Mass Effect,"" which species is known for its scientific achievements?",Asari,Krogan,Turians,Krogan,B,Navigate the universe in Mass Effect and identify the scientifically advanced species.,Discover the intellects of the galaxy!,"Mass Effect, species, sci-fi, gaming trivia",,,
Sci-Fi Puzzler! 🔍 #SpaceRiddle,"In ""Mass Effect,"" which species is known for its scientific achievements?",Turians,Asari,Krogan,Asari,B,"Navigate the universe of Mass Effect and identify the species celebrated for their intellect. Are they the Turians, Asari, or Krogan?",Discover the intellects of the galaxy!,"Mass Effect, species, gaming, sci-fi",,,
Sci-Fi Puzzler! 🔍 #SpaceRiddle,"In ""Mass Effect,"" which species is known for its scientific achievements?",Krogan,Turians,Asari,Asari,C,"Journey through the galaxy in Mass Effect and identify which species is renowned for its scientific achievements. Is it the Krogan, Turians, or Asari?",Discover the intellects of the galaxy!,"Mass Effect,",,,
Sci-Fi Puzzler! 🔍 #SpaceRiddle,"In ""Mass Effect,"" which species is known for its scientific achievements?",Krogan,Turians,Asari,Asari,C,"In the post-apocalyptic world of Fallout 4, which faction is dedicated to preserving technology? Discover the tech guardians in this survival quiz.",Discover the intellects of the galaxy!,"Mass Effect, species, sci-fi, gaming trivia",,,
Rhythmic Beatdown! 🎵 #MusicMaster,How do players interact with the music in this rhythmic VR game?,Dance moves,Sword slashes,Drum beats,Sword slashes,B,"Challenge your music knowledge in ""Beat Saber.""",Music,"Beat Saber, music games, VR gaming",,,
Racing Legends! 🏁 #RacingGames,"In ""Forza Horizon,"" what is the main event the player participates in?",Horizon Festival,Grand Prix,Le Mans,Horizon Festival,A,Experience the thrill of the Horizon Festival in Forza Horizon. What's the main event the player participates in?,Experience the thrill of the Horizon Festival!,"Forza Horizon, racing game, gaming excitement",,,
Puzzle Mastery! 🧩 #LogicGames,"In ""Portal,"" what is the primary tool used by the player to solve puzzles?",Gravity Gun,Portal Gun,BFG 9000,Portal Gun,B,"Solve complex puzzles in Portal using a unique tool. Is it the Gravity Gun, Portal Gun, or BFG 9000 that aids players in this logic game?",Solve the puzzles of Portal!,"Portal, puzzle game, gaming trivia",,,
Pixelated Adventures! 🎮 #GamerTrivia,"In the world of Minecraft, which cannot be used to make armor?",Leather,Wood,Diamond,Wood,B,"Dive into the blocky world of Minecraft and discover which material can't be used to make armor. Is it Leather, Wood, or Diamond?",Unearth the crafting secrets of Minecraft!,"Minecraft, gaming trivia, armor crafting, video game quiz",,,
Mystic Arts Unleashed! 🔮 #MagicRiddles,Who is the Sorcerer Supreme in Marvel Comics?,Doctor Doom,Doctor Strange,Loki,Doctor Strange,B,"Delve into the Marvel Comics universe and identify the Sorcerer Supreme. Is it Doctor Doom, Doctor Strange, or Loki?",Reveal the master of the mystic arts!,"Doctor Strange, Sorcerer Supreme, Marvel comics, magic trivia",,,
Monster Hunt! 🐉 #ActionGames,"In ""Monster Hunter World,"" what do players primarily hunt?",Dragons,Monsters,Treasure,Monsters,B,"Embark on thrilling hunts in Monster Hunter World. What are players primarily tracking – Dragons, Monsters, or Treasure?",Become the ultimate hunter!,"Monster Hunter World, hunting game, action gaming",,,
Magical Worlds! 🪄 #FantasyGames,"In ""Final Fantasy,"" what are players primarily tasked with?",Saving the world,Winning battles,Exploring dungeons,Saving the world,A,Step into the fantastical world of Final Fantasy. What significant task are players assigned in this epic role-playing game?,Explore the fantasy of Final Fantasy!,"Final Fantasy, role-playing game, fantasy adventure",,,
Magical Concoctions! 🍵 #WizardWorld,What potion makes the drinker fall in love in the Harry Potter universe?,Polyjuice Potion,Amortentia,Felix Felicis,Amortentia,B,"Brew up your Harry Potter knowledge and find out which potion causes love at first sip. Is it Polyjuice Potion, Amortentia, or Felix Felicis?",Concoct the magic of love!,"Harry Potter potions, love potion, magical trivia, Amortentia",,,
Historical Quest! 🏺 #GamerHistory,"In ""Assassin's Creed: Odyssey,"" who is the protagonist's sibling?",Kassandra,Phoibe,Alexios,Kassandra,A,Journey through time in Assassin's Creed: Odyssey and identify the protagonist's sibling.,Explore the bonds of blood and battle!,"Assassin's Creed, Odyssey, protagonist, gaming trivia",,,
Historical Quest! 🏺 #GamerHistory,"In ""Assassin's Creed: Odyssey,"" who is the protagonist's sibling?",Alexios,Phoibe,Kassandra,Alexios,A,Dive into the history of Assassin's Creed: Odyssey and reveal the protagonist's sibling. Embark on a journey through family ties in ancient Greece.,Explore ancient family ties!,"Assassin's Creed, Odyssey, protagonist, gaming",,,
Historical Quest! 🏺 #GamerHistory,"In ""Assassin's Creed: Odyssey,"" who is the protagonist's sibling?",Phoibe,Alexios,Kassandra,Alexios,B,"Travel back to ancient Greece in Assassin's Creed: Odyssey and identify the protagonist's sibling. Is it Phoibe, Alexios, or Kassandra?",Explore the bonds of blood and battle!,"Assassin's Creed, Odyssey, protagonist, gaming trivia",,,
Historical Quest! 🏺 #GamerHistory,"In ""Assassin's Creed: Odyssey,"" who is the protagonist's sibling?",Phoibe,Alexios,Kassandra,Alexios,B,"Feel the speed in Mario Kart and identify which item gives you a temporary boost. Is it the Banana Peel, Mushroom, or Red Shell?",Explore the bonds of blood and battle!,"Assassin's Creed, Odyssey, protagonist, gaming trivia",,,
High-Speed Chase! 🏎️ #GamingSpeed,"In ""Mario Kart,"" what item gives you a temporary speed boost?",Banana Peel,Mushroom,Red Shell,Mushroom,B,"Test your Naruto knowledge and find out who can wield the Rasengan. Is it the determined Naruto, the talented Sasuke, or the strong-willed Sakura?",Race to victory in Mario Kart!,"Mario Kart, speed boost, racing game, gaming trivia",,,
High-Speed Chase! 🏎️ #GamingSpeed,"In ""Mario Kart,"" what item gives you a temporary speed boost?",Red Shell,Banana Peel,Mushroom,Mushroom,C,"Accelerate in Mario Kart and find out which item grants a speed boost. Is it the Red Shell, Banana Peel, or Mushroom?",Race to the finish line in Mario Kart!,"Mario Kart, gaming trivia, speed boost item, racing game quiz",,,
Heroic Quests! 🦸‍♂️ #AdventureGames,"In ""The Legend of Zelda,"" what is Link's primary mission?",Rescue Princess Zelda,Find the Triforce,Defeat Ganon,Rescue Princess Zelda,A,Join Link in his quest in The Legend of Zelda. What is his primary mission in this adventurous journey?,Embark on a quest with Link!,"The Legend of Zelda, adventure gaming, heroic journey",,,
Hero's Identity Unmasked! 🦸‍♂️ #SuperheroSecrets,What is the real name of Spider-Man?,Clark Kent,Peter Parker,Bruce Wayne,Peter Parker,B,"Unravel the true identity of Spider-Man in this thrilling trivia. Is he Clark Kent, Peter Parker, or Bruce Wayne?",Discover the man behind the mask!,"Spider-Man identity, superhero secrets, Marvel trivia, Peter Parker",,,
Galactic Strategy! 🌌 #SciFiQuiz,"In ""Star Wars: Knights of the Old Republic,"" which planet is not visitable?",Tatooine,Coruscant,Dantooine,Coruscant,B,"Command your forces in Star Wars: Knights of the Old Republic and identify which planet you can't visit. Is it Tatooine, Coruscant, or Dantooine?",Navigate the galaxies in KOTOR!,"Star Wars, KOTOR, planet trivia, sci-fi gaming",,,
Galactic Strategy! 🌌 #SciFiQuiz,"In ""Star Wars: Knights of the Old Republic,"" which planet is not visitable?",Coruscant,Tatooine,Dantooine,Dantooine,C,"Unravel the core function of the GPU in a gaming PC. Is it processing graphics, supplying power, or storing data?",Chart your course in the galaxy!,"Star Wars, KOTOR, planets, gaming quiz",,,
Fantasy Realms Unveiled! 🏰 #RPGTrivia,"In ""The Elder Scrolls V: Skyrim,"" which city is the capital of Skyrim?",Riften,Solitude,Whiterun,Solitude,B,"Traverse the vast world of Skyrim and identify its capital city. Is it Riften, Solitude, or Whiterun?",Explore the capital of Skyrim!,"Skyrim, RPG trivia, capital city, gaming quiz",,,
