[0.00 - 5.44]  🎵
[5.46 - 8.64]  🎵 Start this mess in the morning light 🎵
[8.68 - 11.88]  🎵 Coffee stains on a shirt to your tight 🎵
[11.92 - 14.44]  🎵 Who cares about the latest trend 🎵
[14.48 - 18.74]  🎵 I ain't no money to spend 🎵
[18.78 - 21.98]  🎵 Rain pours down on rusted cards 🎵
[22.02 - 24.38]  🎵 Beauty found in all these scars 🎵
[24.42 - 27.72]  🎵 Turned up in all this field of state 🎵
[27.72 - 30.40]  🎵 Imperfections that came 🎵
[31.42 - 34.22]  🎵 No more love songs, no more lies 🎵
[34.26 - 37.06]  🎵 Only truth under these skies 🎵
[37.10 - 40.02]  🎵 Chaos dancing in the greens 🎵
[40.06 - 43.04]  🎵 Life's the mess in it it is 🎵
[45.16 - 48.06]  🎵 Graveled plots and broken bones 🎵
[48.10 - 51.26]  🎵 Lived a car of instincts and stones 🎵
[51.30 - 53.76]  🎵 Find a gold in the ground 🎵
[53.80 - 56.14]  🎵 And brace and take your time 🎵
[58.28 - 60.82]  🎵 Faces, crooked stories, old 🎵
[60.86 - 63.86]  🎵 Hearts not polished but so old 🎵
[63.90 - 66.42]  🎵 Whisper tales, battles won 🎵
[66.46 - 69.16]  🎵 In the light of city, sun 🎵
[70.22 - 73.26]  🎵 Embrace the flaws, hold them tight 🎵
[73.30 - 76.16]  🎵 Through the struggle comes the light 🎵
[76.20 - 79.16]  🎵 Sing no more those perfect lines 🎵
[79.20 - 82.20]  🎵 Lies in the dust and grind 🎵
[88.14 - 89.68]  🎵 No more love songs, no more lies 🎵
[97.94 - 100.70]  🎵 Only truth under these skies 🎵
[100.72 - 103.72]  🎵 Chaos dancing in the greens 🎵
[103.74 - 106.74]  🎵 Life's the mess in it it is 🎵
[108.04 - 111.22]  🎵 Graveled plots and broken bones 🎵
[111.26 - 114.14]  🎵 Lived a car of instincts and stones 🎵
[114.18 - 117.02]  🎵 Lived a car of instincts and stones 🎵
[117.02 - 121.40]  Life's a mess, ain't it a tease
[121.40 - 124.92]  Traveled at them broken bones
[124.92 - 128.30]  Life's a carved in sticks and stones
[128.30 - 130.90]  Find a gold in the ground
[130.90 - 135.30]  Brace and take your time
[135.30 - 138.20]  Faces, crooked stories, oh
[138.20 - 141.10]  Hearts not polished but so bold
[141.10 - 143.64]  Whisper tales about us one
[143.64 - 146.30]  In the light of setting sun
