00:00 -- 00:07:  🎵
00:07 -- 00:11:  🎵Marching forward, never stray🎵
00:11 -- 00:15:  🎵Enchanting woods, night and day🎵
00:15 -- 00:18:  🎵Holding death in primal sight🎵
00:18 -- 00:23:  🎵In the dark, we find our light🎵
00:23 -- 00:27:  🎵Familiar clothes by my side🎵
00:28 -- 00:32:  🎵Through the night, we're on this ride🎵
00:32 -- 00:35:  🎵Facing shadows, hearts aligned🎵
00:35 -- 00:39:  🎵In the void, our stars will shine🎵
00:39 -- 00:43:  🎵In the woods where shadows play🎵
00:43 -- 00:47:  🎵We will wander, come what may🎵
00:47 -- 00:51:  🎵Through the darkness, we will fly🎵
00:51 -- 00:55:  🎵Finding strength beneath the sky🎵
00:56 -- 01:00:  🎵No more fears, just endless dreams🎵
01:00 -- 01:04:  🎵Echoes hold our secret schemes🎵
01:04 -- 01:07:  🎵Mystic paths we tread tonight🎵
01:07 -- 01:12:  🎵Hearts ignite like fireflies, bright🎵
01:12 -- 01:16:  🎵Familiar clothes by my side🎵
01:16 -- 01:20:  🎵Through the night, we're on this ride🎵
01:20 -- 01:23:  🎵Facing shadows, hearts aligned🎵
01:23 -- 01:27:  🎵In the void, our stars will shine🎵
01:27 -- 01:31:  🎵In the woods where shadows play🎵
01:31 -- 01:35:  🎵We will wander, come what may🎵
01:35 -- 01:39:  🎵Through the darkness, we will fly🎵
01:39 -- 01:43:  🎵Finding strength beneath the sky🎵
01:43 -- 01:47:  🎵In the woods where shadows play🎵
01:47 -- 01:51:  🎵We will wander, come what may🎵
01:51 -- 01:55:  🎵Through the darkness, we will fly🎵
01:55 -- 01:59:  🎵Finding strength beneath the sky🎵
02:15 -- 02:19:  🎵No more fears, just endless dreams🎵
02:19 -- 02:23:  🎵Echoes hold our secret schemes🎵
02:23 -- 02:27:  🎵Mystic paths we tread tonight🎵
02:27 -- 02:32:  🎵Hearts ignite like fireflies, bright, bright🎵
02:32 -- 02:36:  🎵Whisper winds guide us forth🎵
02:36 -- 02:40:  🎵To the edge of this earth🎵
02:40 -- 02:43:  🎵Silent oaths the woods confide🎵
02:43 -- 02:47:  🎵Unity in every stride🎵
02:47 -- 02:51:  🎵In the woods where shadows play🎵
02:51 -- 02:55:  🎵We will wander, come what may🎵
02:55 -- 02:59:  🎵Through the darkness, we will fly🎵
02:59 -- 03:03:  🎵Finding strength beneath the sky🎵
03:03 -- 03:07:  🎵In the woods where shadows play🎵
03:07 -- 03:11:  🎵We will wander, come what may🎵
03:11 -- 03:15:  🎵Through the darkness, we will fly🎵
03:15 -- 03:19:  🎵Finding strength beneath the sky🎵
