"Category","Name","Location","What It Actually Does","Key Functions","Dependencies","Complexity","Status"
"🔧 ROOT SCRIPTS","COMPLETE_HOME_SCAN.py","~/","Scans entire home directory for audio files using find command, merges with existing CSV catalogs to create unified catalog","find_all_audio_files() - subprocess find for .mp3/.wav/.m4a/.flac, merge with CSV catalogs","subprocess, csv, pathlib, json","Medium","Active"
"🔧 ROOT SCRIPTS","CONTENT_AWARE_ANALYZER.py","~/","Deep reads actual audio file content using ffprobe - extracts metadata, fingerprints, quality metrics from file headers/streams (NOT filename guessing)","read_audio_content() - ffprobe JSON extraction, content fingerprinting","ffprobe (ffmpeg), json, subprocess","High","Active"
"🔧 ROOT SCRIPTS","INTELLIGENT_MERGE.py","~/","Merges ALL previous scan/analysis data from multiple CSV sources, handles conflicts, deduplicates, creates master catalog","merge_all_existing_data() - loads multiple CSVs, conflict resolution, deduplication","csv, json, pathlib, collections","High","Active"
"🔧 ROOT SCRIPTS","CONSOLIDATE_ALL.py","~/","Moves scattered files to organized locations based on type/purpose, creates destination dirs, preserves structure","consolidate_files() - destination mapping, dry-run mode, backup creation","pathlib, shutil, datetime","Medium","Active"
"🔧 ROOT SCRIPTS","PROPER_CONTENT_SEPARATION.py","~/","Uses ffprobe to read actual file content (not extension), separates music/podcasts/audiobooks based on real audio analysis","analyze_audio_file() - deep ffprobe analysis, content-aware classification","ffprobe, json, subprocess, pathlib","High","Active"
"🔧 ROOT SCRIPTS","MYSTERY_FILES_CHECKER.py","~/","Identifies unknown files by reading actual metadata using ffprobe - shows what files really contain when filename doesn't match","check_file() - ffprobe metadata extraction, format identification","ffprobe, json, subprocess, pathlib","Low","Active"
"🔧 ROOT SCRIPTS","aspect_ratio_analyzer.py","~/","Analyzes all images in ~/Pictures, calculates aspect ratios, categorizes by ratio type, outputs CSV for filtering","get_aspect_ratio() - PIL dimension reading, ratio classification, CSV output","PIL/Pillow, csv, pathlib, fractions","Medium","Active"
"🎛️ ADVANCED TOOLKIT","master_control.py","~/advanced_toolkit/","Central CLI for ALL file management - scanning, organizing, deduplicating, analyzing. Unified interface using FileAnalyzer + SmartOrganizer","scan(), stats(), duplicates(), remove-duplicates(), organize(), analyze(), related(), export()","argparse, file_intelligence, smart_organizer, sqlite3","High","Active"
"🎛️ ADVANCED TOOLKIT","master_orchestrator.py","~/advanced_toolkit/","MASTER controller using ALL API keys from ~/.env.d/, coordinates all tools, complete intelligent music management. Loads 273 API keys, routes to services","load_api_keys(), check_available_services(), identify_smart_actions() - transcription/music/voice/analysis services","config_manager, csv, pathlib, subprocess, json","Very High","Active"
"🎛️ ADVANCED TOOLKIT","smart_organizer.py","~/advanced_toolkit/","Intelligent file organizer with ML-based classification + rule engine. Uses FileAnalyzer to understand files, applies priority-based rules","determine_target(), generate_organization_plan(), execute_plan() - 8 organization rules (audio by artist/album, code by language, images by year, etc)","file_intelligence, pathlib, re, collections, dataclasses","High","Active"
