00:00 -- 00:11:  ♪♪
00:11 -- 00:23:  ♪ Moonlit valleys calling, willow trees sway slow. ♪
00:23 -- 00:35:  ♪ Heartbreak like a whisper, in the still of night it grows. ♪
00:35 -- 00:46:  ♪ Once was joy in mourning, now the shadows cast so deep. ♪
00:46 -- 00:58:  ♪ Echoes of the laughter, fade into the dreams we keep. ♪
00:58 -- 01:10:  ♪ Heartbreak, hope and memories, dancing with the trees. ♪
01:10 -- 01:22:  ♪ Moonlit nights and willow whispers, take me back please. ♪
01:22 -- 01:33:  ♪ In the night so silent, loneliness does creep. ♪
01:33 -- 01:45:  ♪ Yet the moon she guides me, through the pain in which I weep. ♪
01:45 -- 01:57:  ♪ Heartbreak, hope and memories, dancing with the trees. ♪
01:57 -- 02:08:  ♪ Moonlit nights and willow whispers, take me back please. ♪
02:08 -- 02:20:  ♪ From the sorrow rises, hope that never dies. Whispering willows, listen to the heartfelt cries. ♪
02:50 -- 03:15:  ♪ From the sorrow rises, hope that never dies. Whispering willows, listen to the heartfelt cries. ♪
03:20 -- 03:22:  ♪ Heartbreak, hope and memories, dancing with the trees. ♪
