rank_all_time,name,downloads_all_time,category,seo_intent,downloads_last_30_days,seo_keywords
1,Excalidraw,5179380,Creative & Writing Tools,"visual notes, diagrams, sketching, mind maps",179885,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, visual notes, diagrams, sketching, mind maps, excalidraw, creative & writing tools, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
2,Dataview,3601401,Data Visualization,"query notes, dashboards, metadata, vault database",92231,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, query notes, dashboards, metadata, vault database, dataview, data visualization, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
3,Templater,3535695,Note Enhancements,"dynamic templates, automation, javascript templates",137134,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, dynamic templates, automation, javascript templates, templater, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
4,Tasks,3029952,Task Management,"task tracking, due dates, recurring tasks",64602,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, task tracking, due dates, recurring tasks, tasks, task management, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
5,Advanced Tables,2570999,Note Enhancements,"markdown tables, spreadsheet-like editing",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, markdown tables, spreadsheet, like editing, advanced tables, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
6,Calendar,2287579,Note Enhancements,"daily notes calendar, weekly notes",64497,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, daily notes calendar, weekly notes, calendar, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
7,Git,2072382,3rd Party Integrations,"version control, backup, sync",73047,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, version control, backup, sync, git, 3rd party integrations, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
8,Kanban,2055896,Task Management,"kanban boards, project management",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, kanban boards, project management, kanban, task management, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
9,Style Settings,2017132,Customization & UI,"theme customization, css variables",57385,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, theme customization, css variables, style settings, customization & ui, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
10,Iconize,1812855,Note Enhancements,icons for files and folders,,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, icons for files and folders, iconize, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
11,Remotely Save,1617243,3rd Party Integrations,"sync to cloud, backup, webdav",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, sync to cloud, backup, webdav, remotely save, 3rd party integrations, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
12,QuickAdd,1532792,Note Enhancements,"quick capture, macros, workflow automation",64327,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, quick capture, macros, workflow automation, quickadd, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
13,Minimal Theme Settings,1340415,Customization & UI,"minimal theme tweaks, typography, colors",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, minimal theme tweaks, typography, colors, minimal theme settings, customization & ui, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
14,Omnisearch,1191165,Note Enhancements,"fast search, pdf ocr, vault indexing",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, fast search, pdf ocr, vault indexing, omnisearch, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
15,Editing Toolbar,1102489,Customization & UI,"toolbar, formatting buttons, rich editor",65740,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, toolbar, formatting buttons, rich editor, editing toolbar, customization & ui, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
16,Outliner,1087185,Note Enhancements,"better lists, outlining, roam/workflowy style",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, better lists, outlining, roam/workflowy style, outliner, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
17,Importer,978830,3rd Party Integrations,import from notion evernote onenote apple notes,,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, import from notion evernote onenote apple notes, importer, 3rd party integrations, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
18,Copilot,969981,3rd Party Integrations,"ai assistant, chatgpt in obsidian, writing",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, ai assistant, chatgpt in obsidian, writing, copilot, 3rd party integrations, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
19,Homepage,941219,Customization & UI,"startup note, workspace landing page",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, startup note, workspace landing page, homepage, customization & ui, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
20,Recent Files,901264,File Management,recently opened notes,,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, recently opened notes, recent files, file management, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
21,Tag Wrangler,867882,Note Enhancements,"tag management, rename merge tags",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, tag management, rename merge tags, tag wrangler, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
22,Admonition,857608,Note Enhancements,"callouts, admonitions, note styling",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, callouts, admonitions, note styling, admonition, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
23,Advanced Slides,805381,Note Enhancements,"slides from markdown, presentations",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, slides from markdown, presentations, advanced slides, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
24,Smart Connections,787487,Note Enhancements,"ai related notes, embeddings, vault chat",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, ai related notes, embeddings, vault chat, smart connections, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
25,Linter,767598,Note Enhancements,"markdown formatting rules, yaml cleanup",,"obsidian plugin, obsidian md, knowledge management, second brain, note taking, markdown, vault, workflow, productivity, markdown formatting rules, yaml cleanup, linter, note enhancements, best obsidian plugins, top obsidian plugins, obsidian plugins 2026, trending obsidian plugins, hot rising obsidian plugins, seo keywords, aeo, how to, setup, tutorial"
