00:00 -- 00:08:  ♪
00:08 -- 00:12:  ♪ Marking for a never stray ♪
00:12 -- 00:16:  ♪ Enchanted walks night and day ♪
00:16 -- 00:19:  ♪ Holding death's end primal sight ♪
00:19 -- 00:24:  ♪ In the dark we find our light ♪
00:24 -- 00:28:  ♪ Familiar close by my side ♪
00:28 -- 00:32:  ♪ Through the night we're on this ride ♪
00:32 -- 00:35:  ♪ Facing shadows hearts align ♪
00:35 -- 00:38:  ♪ In the void our stars will shine ♪
00:38 -- 00:42:  ♪ In the woods where shadows play ♪
00:42 -- 00:46:  ♪ We will wander come what may ♪
00:46 -- 00:50:  ♪ Through the darkness we will fly ♪
00:50 -- 00:56:  ♪ Finding strength beneath the sky ♪
00:56 -- 01:00:  ♪ No more fear just endless dreams ♪
01:00 -- 01:04:  ♪ Echoes hold our secret schemes ♪
01:04 -- 01:07:  ♪ Mystic paths we tread tonight ♪
01:07 -- 01:12:  ♪ Hearts ignite like fireflies bright ♪
01:12 -- 01:16:  ♪ Familiar close by my side ♪
01:16 -- 01:20:  ♪ Through the night we're on this ride ♪
01:20 -- 01:23:  ♪ Facing shadows hearts align ♪
01:23 -- 01:27:  ♪ In the void our stars will shine ♪
01:27 -- 01:30:  ♪ In the woods where shadows play ♪
01:30 -- 01:34:  ♪ We will wander come what may ♪
01:34 -- 01:38:  ♪ Through the darkness we will fly ♪
01:38 -- 01:43:  ♪ Finding strength beneath the sky ♪
01:43 -- 01:46:  ♪ In the woods where shadows play ♪
01:46 -- 01:50:  ♪ We will wander come what may ♪
01:50 -- 01:54:  ♪ Through the darkness we will fly ♪
01:54 -- 01:58:  ♪ Finding strength beneath the sky ♪
02:15 -- 02:19:  ♪ No more fear just endless dreams ♪
02:19 -- 02:23:  ♪ Echoes hold our secret schemes ♪
02:23 -- 02:27:  ♪ Mystic power we'll tread tonight ♪
02:27 -- 02:31:  ♪ Hearts ignite like fireflies bright, bright ♪
02:32 -- 02:36:  ♪ Whisper winds guide us forth ♪
02:36 -- 02:40:  ♪ To the edge of this earth ♪
02:40 -- 02:43:  ♪ Silent oaths the woods confide ♪
02:43 -- 02:47:  ♪ Unity in every stride ♪
02:47 -- 02:51:  ♪ In the woods where shadows play ♪
02:51 -- 02:55:  ♪ We will wander come what may ♪
02:55 -- 02:59:  ♪ Through the darkness we will fly ♪
02:59 -- 03:03:  ♪ Finding strength beneath the sky ♪
03:03 -- 03:07:  ♪ In the woods where shadows play ♪
03:07 -- 03:11:  ♪ We will wander come what may ♪
03:11 -- 03:15:  ♪ Through the darkness we will fly ♪
03:15 -- 03:19:  ♪ Finding strength beneath the sky ♪
