Riddle,Answer
"I cackle in the night and ride through the sky, who am I?",A Witch
"I can walk through walls and float in the air, but I can’t hold anything. What am I?",A Ghost
"I suck blood and fear garlic, who am I?",A Vampire
"I moan in the dark and chase after brains, who am I?",A Zombie
"I wear a mask and ask for a treat, who am I?",A Trick-or-Treater
"I am a black feline that crosses your path, who am I?",A Black Cat
"I am a creature that changes form with the moon, who am I?",A Werewolf
"I am sweet to eat and come in a wrapper, what am I?",A Candy
"I light the way and scare away the spirits, what am I?",A Jack-o'-lantern
"I am a skeleton that doesn’t scare, what am I?",A Friendly Skeleton
"I am ridden in the sky but I cannot fly, what am I?",A Broomstick
"I spin webs in dark corners, who am I?",A Spider
"I hoot in the night and can turn my head around, who am I?",An Owl
"I am pointy and worn by a witch, what am I?",A Hat
"I bubble and toil but I am not a boil, what am I?",A Potion
"I stand in the field but I am not a farmer, who am I?",A Scarecrow
"I rattle in the night but I am not a snake, what am I?",A Chain
"I am worn by ghosts but not by people, what am I?",A Sheet
"I am associated with wisdom and often seen with witches, who am I?",An Owl
"I obscure your vision but I am not a mask, what am I?",A Fog
"I’m not alive, but I can grow; I don’t have lungs, but I need air; I don’t have a mouth, but water kills me. What am I?",A Fire
"The more you take from me, the bigger I become. What am I?",A Hole
"I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?",An Echo
"I can be cracked, made, told, and played. What am I?",A Joke
"The more you make, the more you leave behind. What am I?",Footsteps
"I fly without wings. I cry without eyes. Whenever I go, darkness flies. What am I?",Rain
"I’m tall when I’m young, and I’m short when I’m old. What am I?",A Candle
"Forward I am heavy, but backward I am not. What am I?",A Ton
"I can be stolen or given away and you will live, yet you cannot live without me. What am I?",A Heart
"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost every person. What am I?",Pencil Lead
"I'm a watcher in the night, never blinking, always bright. I cast shadows dark and eerie, yet my presence is quite cheery. What am I?",A Pumpkin Lantern
"I bubble and pop, yet I'm not a gum. I toil and spin, yet I'm not a web. I'm part of a brew, yet I'm not a stew. What am I?",A Potion
"I sweep during the day but fly at night. I'm not a bird, yet I take flight. What am I?",A Broom
"I am a word of letters three, add two and fewer there will be. What am I?",Few
"I can rattle and I can roll, yet I'm not a toy. I stand still, yet I'm not a boy. What am I?",A Skeleton
"I am a mirror to many, yet for some, I show none. Who finds no reflection under the sun?",A Vampire
"I can slip through fingers, yet hold a ship. I'm not a ghost, yet I can drip. What am I?",Water
"I am spun but not weaved, I appear where I'm least perceived. What am I?",A Cobweb
"I have keys but open no locks, I tick but I'm not a clock. What am I?",A Piano
"I stand in the field, yet I do not yield. Crows may come, but they do not feast. What am I?",A Scarecrow
"I howl through the night but am not alive, I bend trees but am not strong. What am I?",Wind
"I fly on a stick and cackle with glee, yet I'm not a bird up a tree. What am I?",A Witch
"I house the dead but am not a coffin, I am silent but am not often. What am I?",A Crypt
"I am bound but am not a prisoner, I have a spine but am not a vertebrate. What am I?",A Book
"I repeat but do not speak, I answer but do not question. What am I?",An Echo
"I am worn by the dead but am not a shroud, I am white but am not a cloud. What am I?",A Sheet
I am darkest when the light is brightest. What am I?,A Shadow
"I am brewed but not beer, I am bubbled but not a stew. What am I?",A Potion
