Question,Option A,Option B,Option C,Option D,Correct Answer
"What is the name of the artificial intelligence in ""2001: A Space Odyssey""?",HAL 9000,C-3PO,R2-D2,Skynet,HAL 9000
"What is the name of the planet where the xenomorphs are first encountered in the movie ""Alien""?",LV-426,LV-223,LV-120,LV-814,LV-426
What is the largest mammal on Earth?,Elephant,Giraffe,Blue Whale,Rhinoceros,Blue Whale
What is the fastest land animal?,Cheetah,Lion,Tiger,Jaguar,Cheetah
Which structure is considered one of the Seven Wonders of the Ancient World?,Taj Mahal,Great Wall of China,Colosseum,Pyramids of Giza,Pyramids of Giza
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,Leonardo da Vinci
"Who painted ""The Starry Night""?",Claude Monet,Pablo Picasso,Vincent van Gogh,Leonardo da Vinci,Vincent van Gogh
Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mars
"What is the name of the fictional moon in the movie ""Avatar""?",Pandora,Endor,Tatooine,Alderaan,Pandora
"What is the name of the space station in the TV series ""Babylon 5""?",Babylon 4,Deep Space Nine,Babylon 5,Epsilon III,Babylon 5
"What is the name of the time machine in ""Back to the Future""?",TARDIS,DeLorean,Flux Capacitor,Time Machine,DeLorean
What is the name of the last Battlestar in the Colonial Fleet?,Pegasus,Galactica,Valkyrie,Prometheus,Galactica
"What is the name of the fictional company that creates the technology featured in ""Black Mirror""?",Stark Industries,Hooli,Pied Piper,TCKR Systems,TCKR Systems
"What is the term used for replicants who have reached the end of their lifespan in ""Blade Runner""?",Retire,Terminate,Decommission,Sunset,Retire
What is the world's largest e-commerce company?,eBay,Alibaba,Amazon,Walmart,Amazon
What is the name of the Doctor's time-traveling spaceship?,TARDIS,Serenity,Millennium Falcon,USS Enterprise,TARDIS
"Who is the author of the ""Dune"" series?",Isaac Asimov,Philip K. Dick,Frank Herbert,Arthur C. Clarke,Frank Herbert
"What is the name of the alien race in ""Ender's Game""?",Formics,Taurans,Tholians,Romulans,Formics
What is the most abundant gas in Earth's atmosphere?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Nitrogen
"Who directed the movie ""Ex Machina""?",Alex Garland,Denis Villeneuve,James Gunn,Darren Aronofsky,Alex Garland
Which designer created the little black dress?,Coco Chanel,Gianni Versace,Calvin Klein,Ralph Lauren,Coco Chanel
Which designer brand uses the logo of a crocodile?,Gucci,Prada,Versace,Lacoste,Lacoste
"What is the name of the ship in the TV series ""Firefly""?",Serenity,Millennium Falcon,USS Enterprise,TARDIS,Serenity
What is the main ingredient in sushi?,Rice,Pasta,Bread,Noodles,Rice
What is the main ingredient in guacamole?,Avocado,Tomato,Onion,Potato,Avocado
"What is the capital planet of the Galactic Empire in ""Foundation""?",Trantor,Coruscant,Alderaan,Caprica,Trantor
What is the capital of Japan?,Beijing,Tokyo,Seoul,Bangkok,Tokyo
What house does Harry belong to in Hogwarts?,Ravenclaw,Slytherin,Hufflepuff,Gryffindor,Gryffindor
Who is the headmaster of Hogwarts?,Albus Dumbledore,Severus Snape,Minerva McGonagall,Sirius Black,Albus Dumbledore
What magical creature guards Gringotts Bank?,Dragon,Phoenix,Hippogriff,Troll,Dragon
What is the name of Hermione's cat?,Crookshanks,Mrs. Norris,Fluffy,Scabbers,Crookshanks
What is the name of the three-headed dog at Hogwarts?,Fluffy,Fang,Buckbeak,Norbert,Fluffy
What is the name of the wizard prison?,Azkaban,Nurmengard,Durmstrang,Alcatraz,Azkaban
What is the name of Hagrid's half-giant brother?,Grawp,Fang,Fluffy,Buckbeak,Grawp
What is the name of the Weasley family owl?,Pigwidgeon,Hedwig,Errol,Hermes,Errol
What is the name of Ron's pet rat?,Scabbers,Crookshanks,Fang,Fluffy,Scabbers
What is the name of the sport played on broomsticks at Hogwarts?,Quidditch,Gobstones,Wizard Chess,Exploding Snap,Quidditch
What is the largest organ in the human body?,Liver,Skin,Heart,Brain,Skin
Who was the first President of the United States?,Thomas Jefferson,George Washington,Abraham Lincoln,Benjamin Franklin,George Washington
"What is the term used for the practice of entering someone's dreams in ""Inception""?",Dream Hacking,Lucid Dreaming,Dream Extraction,Dream Infiltration,Dream Infiltration
"What is the name of the spacecraft in ""Interstellar"" that travels through the wormhole?",Endurance,Discovery One,Millennium Falcon,Serenity,Endurance
What is the name of the island where Jurassic Park is located?,Isla Sorna,Isla Nublar,Skull Island,Isla Muerta,Isla Nublar
What is the official language of Brazil?,Portuguese,Spanish,English,French,Portuguese
"Who wrote ""Romeo and Juliet""?",William Wordsworth,William Shakespeare,Charles Dickens,Jane Austen,William Shakespeare
"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,Ernest Hemingway,Mark Twain,Charles Dickens,F. Scott Fitzgerald
What is the real name of Iron Man?,Steve Rogers,Bruce Banner,Tony Stark,Peter Parker,Tony Stark
What is the real name of Captain America?,Tony Stark,Bruce Banner,Steve Rogers,Clint Barton,Steve Rogers
Who is the archenemy of Spider-Man?,Venom,Green Goblin,Doctor Octopus,Thanos,Green Goblin
Who is Thor's adopted brother?,Loki,Odin,Heimdall,Hela,Loki
What is the real name of the Black Widow?,Natasha Romanoff,Wanda Maximoff,Carol Danvers,Natasha Stark,Natasha Romanoff
What is the real name of the Hulk?,Bruce Wayne,Peter Parker,Bruce Banner,Tony Stark,Bruce Banner
What is the real name of Wolverine?,Logan,Victor Creed,Scott Summers,Bruce Banner,Logan
Who is the archenemy of the X-Men?,Magneto,Apocalypse,Professor X,Sabretooth,Magneto
What is the real name of the Punisher?,Frank Castle,Wade Wilson,Matt Murdock,Bucky Barnes,Frank Castle
Who is the archenemy of Daredevil?,Kingpin,Bullseye,Green Goblin,The Punisher,Kingpin
What is the value of Pi (π) to two decimal places?,3.14,3.16,3.12,3.18,3.14
What is the value of the square root of 64?,6,7,8,9,8
